start,end,path,degree
Acalyptris fortis,Homunculus,Acalyptris fortis->Arthropod->Sperm->Homunculus,3
Greg Truitt,Homunculus,Greg Truitt->Fumble->Luck->Mooncalf->Homunculus,4
USS Folly (SP-1453),Homunculus,USS Folly (SP-1453)->Schooner->Dutch language->List of diminutives by language->Homunculus,4
Peter Schöffer,Homunculus,Peter Schöffer->Johann Fust->Faust (manga)->Homunculus,3
Delias funerea,Homunculus,Delias funerea->Arthropod->Sperm->Homunculus,3
"Sir Peter FitzGerald, 19th Knight of Kerry",Homunculus,"Sir Peter FitzGerald, 19th Knight of Kerry->Valentia Island->Tetrapod->History of evolutionary thought->Homunculus",4
1967–68 Tranmere Rovers F.C. season,Homunculus,1967–68 Tranmere Rovers F.C. season->1967–68 Inter-Cities Fairs Cup->Austria->Paracelsus->Homunculus,4
Carbasalate calcium,Homunculus,Carbasalate calcium->Nucleotide->Heredity->Homunculus,3
Greek ship Ermis,Homunculus,Greek ship Ermis->Hermes->Ouroboros->Homunculus,3
Gianluca Gorini,Homunculus,Gianluca Gorini->Gorizia->Gothic architecture->Frankenstein->Homunculus,4
Miz Ima Starr,Homunculus,Miz Ima Starr->Australia's Got Talent->List of programs broadcast by Nine Network->The Life and Times of Juniper Lee->Homunculus,4
Fengtai Dongdajie Station,Homunculus,Fengtai Dongdajie Station->Geographic coordinate system->Map->Mental image->Homunculus,4
Bahing,Homunculus,Bahing->Tharu people->Heredity->Homunculus,3
Rubin Tyumen,Homunculus,Rubin Tyumen->Metallurg Novokuznetsk->Czech Republic->Golem->Homunculus,4
"Sora, Chile",Homunculus,"Sora, Chile->Village->Industrial Revolution->Frankenstein->Homunculus",4
Capacitor,Homunculus,Capacitor->Electricity->Frankenstein->Homunculus,3
2003–04 Newcastle United SC season,Homunculus,2003–04 Newcastle United SC season->Michael Bridges->Goal (sport)->Bad faith->Homunculus,4
Honoris Crux,Homunculus,Honoris Crux->Honoris Crux Silver->Captain (armed forces)->Warrant officer->Gunpowder->Liber Ignium->Homunculus,6
Stephen Randall Harris,Homunculus,Stephen Randall Harris->Art Agnos->Nation of Islam->Alchemy and chemistry in medieval Islam->Homunculus,4
Emma-Kate Dewhurst,Homunculus,Emma-Kate Dewhurst->Australia->Austria->Paracelsus->Homunculus,4
Rugege Highlands forest chameleon,Homunculus,Rugege Highlands forest chameleon->Squamata->Sperm->Homunculus,3
Maurice Trintignant,Homunculus,Maurice Trintignant->Czech Republic->Golem->Homunculus,3
Chris Sanders (wide receiver),Homunculus,Chris Sanders (wide receiver)->Montgomery Bell Academy->The 25th Annual Putnam County Spelling Bee->Homunculus,3
The Fifth Quarter,Homunculus,The Fifth Quarter->Seven Network->Universal Pictures->Bride of Frankenstein->Homunculus,4
Asahara,Homunculus,Asahara->Surname->Heredity->Homunculus,3
Carrier Air Conditioner move to Mexico,Homunculus,Carrier Air Conditioner move to Mexico->Offshoring->Ibn Khaldun->Alchemy and chemistry in medieval Islam->Homunculus,4
San Juan Teita,Homunculus,San Juan Teita->Municipalities of Mexico->Surface area->Fractal->Homunculus,4
NASASpaceFlight.com,Homunculus,NASASpaceFlight.com->Engineering->History of evolutionary thought->Homunculus,3
Anna,Homunculus,Anna->Morgause->List of works based on Arthurian legends->Homunculus,3
Miccosukee Resort & Gaming,Homunculus,Miccosukee Resort & Gaming->Miami->Islam->Alchemy and chemistry in medieval Islam->Homunculus,4
Penange Dogon,Homunculus,Penange Dogon->Languages of Mali->Arabic->Alchemy->Homunculus,4
Pull printing,Homunculus,Pull printing->License->Accession (property law)->Bad faith->Homunculus,4
Sean Fleming,Homunculus,"Sean Fleming->Seán Fleming->Republic of Ireland->The Life and Opinions of Tristram Shandy, Gentleman->Homunculus",4
2001 UEFA–CAF Meridian Cup,Homunculus,2001 UEFA–CAF Meridian Cup->Czech Republic national under-18 football team->Czech Republic->Golem->Homunculus,4
Charles Lapointe,Homunculus,Charles Lapointe->Joseph-Aldric Ouimet->Censure->Censer->Waidan->Homunculus,5
Pakistan Naval Academy,Homunculus,Pakistan Naval Academy->Biology->History of evolutionary thought->Homunculus,3
2017 Irving Tennis Classic,Homunculus,2017 Irving Tennis Classic->Austria->Paracelsus->Homunculus,3
Vijay Dahiya,Homunculus,Vijay Dahiya->Delhi->Hangzhou->Yue Fei->Waidan->Homunculus,5
Gowran (Parliament of Ireland constituency),Homunculus,"Gowran (Parliament of Ireland constituency)->Republic of Ireland->The Life and Opinions of Tristram Shandy, Gentleman->Homunculus",3
"Crenshaw Crossing, Illinois",Homunculus,"Crenshaw Crossing, Illinois->Cambria, Illinois->Marriage->Heredity->Homunculus",4
1977 IAAF World Cross Country Championships – Senior men's race,Homunculus,1977 IAAF World Cross Country Championships – Senior men's race->Düsseldorf->Hanns Heinz Ewers->Homunculus,3
Swimming at the 2006 Asian Games – Women's 50 metre butterfly,Homunculus,Swimming at the 2006 Asian Games – Women's 50 metre butterfly->Hangzhou->Yue Fei->Waidan->Homunculus,4
Daved Benefield,Homunculus,Daved Benefield->National Football League->Concussion->Human brain->Cortical homunculus->Homunculus,5
Andy Harpas,Homunculus,Andy Harpas->New South Wales->Platypus->Cortical homunculus->Homunculus,4
USS White Marsh (LSD-8),Homunculus,USS White Marsh (LSD-8)->Ryukyu Islands->Elixir of life->Homunculus,3
"Kim Jung-hyun (footballer, born 1990)",Homunculus,"Kim Jung-hyun (footballer, born 1990)->Hangul->Canadian currency tactile feature->Somatosensory system->Cortical homunculus->Homunculus",5
Rebecca Parchment,Homunculus,Rebecca Parchment->Miss World 2007->Austria->Paracelsus->Homunculus,4
In the Nightside Eclipse,Homunculus,In the Nightside Eclipse->Orc->Elemental->Homunculus,3
Stolen Harmony,Homunculus,Stolen Harmony->1935 in film->Bride of Frankenstein->Homunculus,3
OzLand,Homunculus,OzLand->The Wonderful Wizard of Oz->Elemental->Homunculus,3
279,Homunculus,279->270s->Gunpowder->Liber Ignium->Homunculus,4
István Vincze (mathematician),Homunculus,István Vincze (mathematician)->Mathematics->Fractal->Homunculus,3
Dickel,Homunculus,Dickel->Central European Time->Cologne->Heinrich Cornelius Agrippa->Homunculus,4
Humoresque (1946 film),Homunculus,Humoresque (1946 film)->Australia->Platypus->Cortical homunculus->Homunculus,4
Rimikhan Ziyadov,Homunculus,Rimikhan Ziyadov->Makhachkala->Relative humidity->Itch->Referred itch->Homunculus,5
Sungeo-guk,Homunculus,Sungeo-guk->Hangul->Canadian currency tactile feature->Somatosensory system->Cortical homunculus->Homunculus,5
Xenophage,Homunculus,Xenophage->Xenophagy->Ecology->Index of biology articles->Homunculus,4
Glaucocharis melistoma,Homunculus,Glaucocharis melistoma->Arthropod->Sperm->Homunculus,3
Jai Jai Jai Bajrang Bali,Homunculus,Jai Jai Jai Bajrang Bali->India->China–India relations->Sun Simiao->Waidan->Homunculus,5
Euphaedra graueri,Homunculus,Euphaedra graueri->Butterfly->Censer->Waidan->Homunculus,4
Howard Brown Health Center,Homunculus,Howard Brown Health Center->Kathy Osterman->Cancer->Heredity->Homunculus,4
1925 Boston College Eagles football team,Homunculus,1925 Boston College Eagles football team->Catholic University Cardinals football->Johns Hopkins Blue Jays->Johns Hopkins School of Medicine->Cortical homunculus->Homunculus,5
Marcos Winter,Homunculus,Marcos Winter->Apocalipse (telenovela)->Book of Revelation->Censer->Waidan->Homunculus,5
Emma Leth,Homunculus,Emma Leth->Twitter->Harry Potter->Alchemy->Homunculus,4
Kasia Miednik,Homunculus,Kasia Miednik->Czech Republic->Golem->Homunculus,3
Wilczopole,Homunculus,Wilczopole->Voivodeships of Poland->Translation->Simulacrum->Homunculus,4
U.S. Route 25 in Georgia,Homunculus,"U.S. Route 25 in Georgia->Tattnall County, Georgia->Marriage->Heredity->Homunculus",4
HMS Exmoor (L61),Homunculus,HMS Exmoor (L61)->Naval mine->Gunpowder->Liber Ignium->Homunculus,4
Bonjour Kathrin – Caterina Valente präsentiert ihre größten Erfolge,Homunculus,Bonjour Kathrin – Caterina Valente präsentiert ihre größten Erfolge->Compilation album->Cover version->Simulacrum->Homunculus,4
George Symes,Homunculus,George Symes->George William Symes->21st Army Group->Düsseldorf->Hanns Heinz Ewers->Homunculus,5
Crime harm index,Homunculus,Crime harm index->Shoplifting->Eating disorder->Cortical homunculus->Homunculus,4
"Standard, Indiana",Homunculus,"Standard, Indiana->Hymera, Indiana->Marriage->Heredity->Homunculus",4
William Pearly Oliver,Homunculus,William Pearly Oliver->Order of Canada->Wilder Penfield->Cortical homunculus->Homunculus,4
Short interspersed nuclear element,Homunculus,Short interspersed nuclear element->Leukemia->Heredity->Homunculus,3
Doege–Potter syndrome,Homunculus,Doege–Potter syndrome->Lobe (anatomy)->Cerebral cortex->Homunculus,3
Priscilla Freeman Jacobs,Homunculus,"Priscilla Freeman Jacobs->Wilmington, North Carolina->Batman Forever->9 (2009 animated film)->Homunculus",4
New Zealand women's cricket team in South Africa in 2016–17,Homunculus,New Zealand women's cricket team in South Africa in 2016–17->West Indian cricket team against Pakistan in the UAE in 2016–17->Dengue fever->Itch->Referred itch->Homunculus,5
